,id,text,agg_bert_row,answer_length,x_position,y_position,distance
34,35,Dont shoot down others ideas,3,28,2.5839398,-1.7621769,1
35,36,defer judgement ,14,16,-1.1268681,5.498347,1
36,37,"Know thy users, for they are not you",7,36,-0.92803735,-6.8013406,1
37,38,You should encourage wild ideas,9,31,3.3356776,-6.344411,1
38,39,Go for quantity,19,15,5.198439,2.9202087,1
39,40,Encourage wild ideas,9,20,3.5155618,-5.381132,1
40,41,Defer judgement,14,15,-1.3523061,5.33665,1
41,42,Diversity of ideas,18,18,5.7681537,-4.023253,1
42,43,Come up with as many ideas as possible,5,38,4.5845213,-1.7660571,1
43,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",16,74,-1.1813618,4.418357,1
44,45,Stay focused on topic,6,21,-0.8711774,-1.4078348,1
45,46,Defer judgment,14,14,-1.1345905,6.414292,1
46,47,Encourage wild ideas,9,20,3.5460062,-5.915518,1
47,48,Stay focused on topic,6,21,-0.8734031,-1.4083678,1
48,49,Being visual helps other understand your ideas or suggestions very quickly ,2,75,-3.7114854,-3.336063,1
49,50,Be visual,20,9,-4.554071,-3.8696253,1
50,51,"defer judgement to others, let others participate in discussion",16,63,-2.0988314,4.286796,1
51,52,Defer Judgement,14,15,-0.9382612,5.823152,1
52,53,Staying focused and on topic when discussing an idea,6,52,-0.38095212,-1.5410526,1
53,54,Come up with as many ideas as possible,5,38,4.5807986,-1.7655145,1
54,55,Building empathy with the people you're designing for ,33,54,1.040383,-4.456237,1
55,56,Defer judgement ,14,16,-2.0322688,5.345222,1
56,57,Not think they are me,29,21,-1.8313086,-6.823148,1
57,58,defer judgement,14,15,-2.1660998,5.7356215,1
58,59,Be visual in your ideation.,2,27,-3.5121818,-4.113604,1
59,60,Initially Include as many ideas as possible ,4,44,4.38122,-2.7431428,1
60,61,Know your target audience,8,25,-0.17635779,0.83194196,1
61,62,be visual; this is to say that human centered design should focus primarily on visual elements,2,94,-4.2547145,-2.7351568,1
62,63,build on others' ideas,21,22,2.6614509,-3.008147,1
63,64,Defer judgement,14,15,-1.8956302,5.2995224,1
64,65,Come up with a large number of ideas,5,36,4.3561325,-1.8086282,1
65,66,No such thing as a bad idea,0,27,3.1367817,0.41825557,1
66,67,Brainstorming,1,13,1.2854731,-2.5804245,1
67,68,No hate,25,7,4.7432456,0.5893028,1
68,69,build off of other ideas,21,24,3.0987086,-2.660179,1
69,70,Diversity and flexibility in ideas,18,34,5.828604,-4.036421,1
70,71,one rule of ideation is to defer judgement.,16,43,-0.4978688,4.6619673,1
71,72,Encourage wild ideas to try and find the best solution,9,54,2.7708695,-5.281289,1
72,73,Encourage Wild Ideas,9,20,3.8961954,-5.5217757,1
73,74,Sketching,24,9,-2.8636947,-4.455878,1
74,75,Consider fron the side of user,23,30,-0.47135565,-7.3299885,1
75,76,Defer judgment ,14,15,-1.8248501,6.4788446,1
76,77,Work on quantity instead of quality ,12,36,4.6773686,3.9007072,1
77,78,It's important to engage in brainstorming,1,41,1.1309611,-2.5959697,1
78,79,Conversations take place one at a time,31,38,-3.065038,0.52318925,1
79,80,conversations take place one at a time,31,38,-3.063401,0.52329576,1
80,81,We must empathize with users ,27,29,-0.43963027,-5.988026,1
81,82,Speed dating with users,10,23,7.638411,0.7243363,1
82,83,Listen to customers,13,19,-0.48147106,1.095147,1
83,84,Defer judgement,14,15,-2.155994,6.0097446,1
84,85,Encourage Wild Ideas,9,20,3.8935885,-5.7164006,1
85,86,Defer judgment,14,14,-1.4765431,6.4904013,1
86,87,One rule for ideation in human-centered design is to defer judgement while you are brainstorming ideas to be able to have an open mind for any ideas that may arise and to not close off any potential solutions.,1,209,1.4649526,-3.2457805,1
87,88,Be visual,20,9,-4.601515,-4.5169187,1
88,89,Generate many ideas - user goals are evaluated,4,46,3.7107043,-3.636551,1
89,90,Speed date with users,10,21,7.675864,0.72710174,1
90,91,Be Visual,20,9,-4.465515,-4.343805,1
91,92,Don't judge ideas to quickly ,3,29,1.8436339,0.03870789,1
92,93,Be Visual,20,9,-4.897121,-3.6462424,1
93,94,Be visual,20,9,-4.6737947,-3.742831,1
94,95,We would need to include a variety of ideas,5,43,3.9659364,-1.5464442,1
95,96,Building on others ideas,21,24,2.7570775,-3.0472617,1
96,97,build on each others' ideas,21,27,2.6157792,-3.1142235,1
97,98,Create as many ideas as possible (quantity),4,43,4.836593,-2.765633,1
98,99,Go for quantity,19,15,5.2054806,2.921215,1
99,100,You are not the user,7,20,-1.278374,-7.154396,1
100,101,Be visual,20,9,-4.8339653,-4.5607247,1
101,102,Encourage wild ideas,9,20,3.5171711,-5.385041,1
102,103,Encourage wild ideas ,9,21,3.9032037,-5.521657,1
103,104,need to account for the basic scenarios,17,39,5.993192,-2.0097222,1
104,105,Build on other's ideas. ,21,24,2.8290844,-2.6277556,1
105,106,Coming up with lots of ideas,5,28,4.6077495,-1.4697407,1
106,107,Cluster and select,11,18,2.130652,3.3712845,1
107,108,conversations take place on at a time ,31,38,-3.0624514,0.49611935,1
108,109,Be visual,20,9,-5.23071,-3.9700634,1
109,110,clustering and selection process,11,32,2.10769,3.3784046,1
110,1,Radical ideas ,8,14,6.529265,-1.921884,1.5
111,2,No judgement,0,12,-1.8242939,2.6628075,1.5
112,3,speed dating,10,12,-3.3452342,-5.3783627,1.5
113,4,Make multiple ideas,8,19,5.037699,-2.597534,1.5
114,5,Yes and,3,7,-1.877512,-3.2749817,1.5
115,6,social interaction ,3,19,0.5504977,-4.6002855,1.5
116,7,Quantity over quality ,2,22,-3.1630938,-1.0132113,1.5
117,8,Encourage wild ideas,9,20,8.191431,-2.2998006,1.5
118,9,Be visual,5,9,2.8636825,-9.929822,1.5
119,10,Encourage wild ideas,9,20,8.195189,-2.9452662,1.5
120,11,one conversation at a time,7,26,-0.105574034,-4.19105,1.5
121,12,Be visual ,5,10,2.741379,-9.813224,1.5
122,13,Stay focused on topic,13,21,6.763019,-7.4953494,1.5
123,14,Stay on topics,13,14,6.1713448,-7.430374,1.5
124,15,dont judge the idea,1,19,3.027858,0.21630366,1.5
125,16,Defer judgement,0,15,-0.23574676,3.1188807,1.5
126,17,include all wild ideas too,9,26,9.183635,-3.1988146,1.5
127,18,Don't judge other people's ideas,1,32,2.7170324,0.28352833,1.5
128,19,No one should be able to say that's my idea,1,43,3.6512792,-0.52535874,1.5
129,20,"Defer judgement on ideas, DONT judge them too quickly ",0,54,1.4576633,1.3149523,1.5
130,21,"Know your users, they are not u",4,31,-1.5237097,-7.6987348,1.5
131,22,Go for quantity ,2,16,-2.891165,-2.2726986,1.5
132,23,Users are not you,4,17,-1.6990238,-7.9194636,1.5
133,24,be visual,5,9,2.9364865,-10.415436,1.5
134,25,"Dont hate, just come up with ideas dont worry about quality of them yet",1,71,4.853248,0.70860237,1.5
135,26,Defer Judgement,0,15,-0.5840187,3.7274663,1.5
136,27,Embrace wild ideas,9,18,8.555159,-3.4220583,1.5
137,28,Defer judgement,0,15,-0.06739157,3.2543297,1.5
138,29,Quantity over quality,2,21,-3.1647282,-1.0121949,1.5
139,30,Be visual,5,9,2.4223754,-9.7061615,1.5
140,31,Stay focused on the topic,13,25,6.7720847,-7.4746666,1.5
141,32,defer judgement,0,15,-0.96961,3.254924,1.5
142,33,Generate a lot of ideas,8,23,5.2883763,-2.2951162,1.5
143,34,"make sure you talk to the target audience first, and see what they want",6,71,1.5009271,-6.243344,1.5
144,35,Dont shoot down others ideas,1,28,3.572656,-1.8017939,1.5
145,36,defer judgement ,0,16,-0.54067427,3.0055194,1.5
146,37,"Know thy users, for they are not you",4,36,-1.5010471,-7.512956,1.5
147,38,You should encourage wild ideas,9,31,8.804066,-2.5194526,1.5
148,39,Go for quantity,2,15,-2.8917532,-2.2726586,1.5
149,40,Encourage wild ideas,9,20,7.943085,-2.368887,1.5
150,41,Defer judgement,0,15,-0.7634962,3.0463448,1.5
151,42,Diversity of ideas,8,18,6.30678,-0.9137604,1.5
152,43,Come up with as many ideas as possible,12,38,5.5707,-3.847556,1.5
153,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",0,74,0.38845724,2.3988712,1.5
154,45,Stay focused on topic,13,21,6.7627645,-7.494968,1.5
155,46,Defer judgment,0,14,-0.36149442,4.3486285,1.5
156,47,Encourage wild ideas,9,20,7.9723296,-2.9736097,1.5
157,48,Stay focused on topic,13,21,6.764071,-7.4966497,1.5
158,49,Being visual helps other understand your ideas or suggestions very quickly ,5,75,3.617648,-9.267593,1.5
159,50,Be visual,5,9,2.0861278,-10.239425,1.5
160,51,"defer judgement to others, let others participate in discussion",0,63,-0.5231596,2.0023537,1.5
161,52,Defer Judgement,0,15,-1.0506165,3.670392,1.5
162,53,Staying focused and on topic when discussing an idea,13,52,6.9451423,-6.975179,1.5
163,54,Come up with as many ideas as possible,12,38,5.570432,-3.847512,1.5
164,55,Building empathy with the people you're designing for ,3,54,2.4401536,-3.7212102,1.5
165,56,Defer judgement ,0,16,0.20527484,3.615882,1.5
166,57,Not think they are me,4,21,-1.3880432,-8.432988,1.5
167,58,defer judgement,0,15,0.21182397,3.6995862,1.5
168,59,Be visual in your ideation.,5,27,2.8533638,-8.806609,1.5
169,60,Initially Include as many ideas as possible ,8,44,5.3194165,-2.9977338,1.5
170,61,Know your target audience,6,25,1.4121459,-6.272913,1.5
171,62,be visual; this is to say that human centered design should focus primarily on visual elements,5,94,4.0712366,-9.9418125,1.5
172,63,build on others' ideas,8,22,3.7034073,-2.879392,1.5
173,64,Defer judgement,0,15,-1.0696952,3.7934444,1.5
174,65,Come up with a large number of ideas,12,36,5.603324,-3.7047129,1.5
175,66,No such thing as a bad idea,1,27,3.4695644,0.09688145,1.5
176,67,Brainstorming,8,13,4.1006093,-4.9457264,1.5
177,68,No hate,1,7,4.69661,1.1463604,1.5
178,69,build off of other ideas,8,24,4.2602196,-2.6733413,1.5
179,70,Diversity and flexibility in ideas,8,34,6.320787,-0.85453236,1.5
180,71,one rule of ideation is to defer judgement.,0,43,0.9500242,2.7404237,1.5
181,72,Encourage wild ideas to try and find the best solution,9,54,7.836457,-3.6866212,1.5
182,73,Encourage Wild Ideas,9,20,8.2150955,-2.308125,1.5
183,74,Sketching,3,9,2.9742572,-8.04208,1.5
184,75,Consider fron the side of user,4,30,-2.1309402,-7.147451,1.5
185,76,Defer judgment ,0,15,-0.7415101,4.3135643,1.5
186,77,Work on quantity instead of quality ,2,36,-3.1470091,-1.0824603,1.5
187,78,It's important to engage in brainstorming,8,41,3.9932637,-5.0809803,1.5
188,79,Conversations take place one at a time,7,38,0.025130719,-4.25487,1.5
189,80,conversations take place one at a time,7,38,0.02745362,-4.251609,1.5
190,81,We must empathize with users ,3,29,-0.7329507,-6.9838843,1.5
191,82,Speed dating with users,10,23,-3.3330028,-5.4345374,1.5
192,83,Listen to customers,6,19,0.76066315,-6.2166543,1.5
193,84,Defer judgement,0,15,-0.28551778,3.774393,1.5
194,85,Encourage Wild Ideas,9,20,7.807272,-2.639869,1.5
195,86,Defer judgment,0,14,0.032471325,4.2510104,1.5
196,87,One rule for ideation in human-centered design is to defer judgement while you are brainstorming ideas to be able to have an open mind for any ideas that may arise and to not close off any potential solutions.,8,209,3.5094051,-4.2390623,1.5
197,88,Be visual,5,9,2.2262108,-10.44569,1.5
198,89,Generate many ideas - user goals are evaluated,8,46,5.073205,-1.793233,1.5
199,90,Speed date with users,10,21,-3.3443391,-5.530222,1.5
200,91,Be Visual,5,9,2.7518356,-10.57884,1.5
201,92,Don't judge ideas to quickly ,1,29,1.9178023,0.47032365,1.5
202,93,Be Visual,5,9,2.0848732,-9.919112,1.5
203,94,Be visual,5,9,2.4381585,-10.566729,1.5
204,95,We would need to include a variety of ideas,12,43,6.192201,-4.038117,1.5
205,96,Building on others ideas,8,24,3.8980522,-2.8885458,1.5
206,97,build on each others' ideas,8,27,3.5901737,-3.0363402,1.5
207,98,Create as many ideas as possible (quantity),8,43,5.3947864,-2.6770668,1.5
208,99,Go for quantity,2,15,-2.8941512,-2.2696264,1.5
209,100,You are not the user,4,20,-1.886703,-7.9499927,1.5
210,101,Be visual,5,9,2.2443144,-9.754456,1.5
211,102,Encourage wild ideas,9,20,7.8395467,-2.8564985,1.5
212,103,Encourage wild ideas ,9,21,8.3441515,-2.684861,1.5
213,104,need to account for the basic scenarios,3,39,5.9454913,-5.137757,1.5
214,105,Build on other's ideas. ,8,24,3.895545,-2.667612,1.5
215,106,Coming up with lots of ideas,12,28,5.449699,-4.0603776,1.5
216,107,Cluster and select,11,18,-0.2883515,-1.5754875,1.5
217,108,conversations take place on at a time ,7,38,0.064808995,-4.2826514,1.5
218,109,Be visual,5,9,2.9769077,-10.2233925,1.5
219,110,clustering and selection process,11,32,-0.27389467,-1.5601662,1.5
220,1,Radical ideas ,1,14,0.012461245,-1.2865549,2
221,2,No judgement,3,12,-2.9757009,6.286079,2
222,3,speed dating,0,12,-3.0133278,-7.062307,2
223,4,Make multiple ideas,1,19,-1.7135216,-0.4394052,2
224,5,Yes and,0,7,-6.0405326,0.21449405,2
225,6,social interaction ,0,19,-5.528963,-2.4558702,2
226,7,Quantity over quality ,2,22,-5.8316875,2.9793608,2
227,8,Encourage wild ideas,9,20,-0.64220786,-2.622318,2
228,9,Be visual,5,9,4.370163,-4.058,2
229,10,Encourage wild ideas,9,20,-0.31059796,-2.8612669,2
230,11,one conversation at a time,7,26,-6.1052036,-1.8284642,2
231,12,Be visual ,5,10,4.2646728,-4.7880335,2
232,13,Stay focused on topic,6,21,3.7835844,0.7545522,2
233,14,Stay on topics,6,14,3.8055348,1.2600148,2
234,15,dont judge the idea,8,19,-0.8060811,3.3422582,2
235,16,Defer judgement,3,15,-1.5096327,7.8583727,2
236,17,include all wild ideas too,9,26,-1.8403438,-3.1262546,2
237,18,Don't judge other people's ideas,8,32,-0.8290235,3.6228116,2
238,19,No one should be able to say that's my idea,8,43,-0.8057199,2.353806,2
239,20,"Defer judgement on ideas, DONT judge them too quickly ",3,54,-1.4418416,5.070919,2
240,21,"Know your users, they are not u",4,31,-5.0927725,-5.3480005,2
241,22,Go for quantity ,2,16,-6.073637,1.7042357,2
242,23,Users are not you,4,17,-5.301156,-5.5002728,2
243,24,be visual,5,9,4.814188,-4.7235975,2
244,25,"Dont hate, just come up with ideas dont worry about quality of them yet",8,71,-2.825709,2.6009812,2
245,26,Defer Judgement,3,15,-2.6315103,8.012945,2
246,27,Embrace wild ideas,9,18,-0.7864123,-3.6934912,2
247,28,Defer judgement,3,15,-1.4948231,7.853392,2
248,29,Quantity over quality,2,21,-5.828814,2.9759645,2
249,30,Be visual,5,9,4.155732,-4.400669,2
250,31,Stay focused on the topic,6,25,3.749995,0.7207688,2
251,32,defer judgement,3,15,-2.4985492,7.40448,2
252,33,Generate a lot of ideas,1,23,-1.8966956,-0.6612743,2
253,34,"make sure you talk to the target audience first, and see what they want",0,71,2.1562586,3.074727,2
254,35,Dont shoot down others ideas,8,28,-0.4010567,1.0119659,2
255,36,defer judgement ,3,16,-1.8459334,7.319158,2
256,37,"Know thy users, for they are not you",4,36,-4.918145,-5.3114443,2
257,38,You should encourage wild ideas,9,31,-1.2470783,-3.2753913,2
258,39,Go for quantity,2,15,-6.0793867,1.7058101,2
259,40,Encourage wild ideas,9,20,-0.68536896,-3.1753914,2
260,41,Defer judgement,3,15,-2.3285663,7.279946,2
261,42,Diversity of ideas,1,18,1.0787203,-1.4931015,2
262,43,Come up with as many ideas as possible,1,38,-2.2614844,0.77661777,2
263,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",3,74,-0.9054143,6.970796,2
264,45,Stay focused on topic,6,21,3.7970393,0.7559712,2
265,46,Defer judgment,3,14,-1.9296263,8.493496,2
266,47,Encourage wild ideas,9,20,-0.41083154,-3.1547937,2
267,48,Stay focused on topic,6,21,3.7848382,0.7617348,2
268,49,Being visual helps other understand your ideas or suggestions very quickly ,5,75,3.2585385,-3.9607086,2
269,50,Be visual,5,9,4.7436304,-4.000178,2
270,51,"defer judgement to others, let others participate in discussion",3,63,-3.50066,7.367256,2
271,52,Defer Judgement,3,15,-2.1025276,7.240875,2
272,53,Staying focused and on topic when discussing an idea,6,52,3.2940955,0.48474053,2
273,54,Come up with as many ideas as possible,1,38,-2.2684047,0.7815675,2
274,55,Building empathy with the people you're designing for ,0,54,-3.3994923,-2.7769992,2
275,56,Defer judgement ,3,16,-1.6383144,7.531907,2
276,57,Not think they are me,4,21,-5.8260703,-5.319643,2
277,58,defer judgement,3,15,-2.061416,7.9251623,2
278,59,Be visual in your ideation.,5,27,3.847956,-3.288681,2
279,60,Initially Include as many ideas as possible ,1,44,-2.0755377,-0.21199621,2
280,61,Know your target audience,0,25,2.1563985,3.1239262,2
281,62,be visual; this is to say that human centered design should focus primarily on visual elements,5,94,3.083341,-4.785979,2
282,63,build on others' ideas,1,22,-0.54436225,-0.18517222,2
283,64,Defer judgement,3,15,-2.6183102,7.7376018,2
284,65,Come up with a large number of ideas,1,36,-2.051477,0.78874546,2
285,66,No such thing as a bad idea,8,27,-0.80748177,2.92683,2
286,67,Brainstorming,1,13,0.8506134,0.53105944,2
287,68,No hate,8,7,-3.036273,3.0726597,2
288,69,build off of other ideas,1,24,-0.7985226,0.06951885,2
289,70,Diversity and flexibility in ideas,1,34,1.1357806,-1.5083388,2
290,71,one rule of ideation is to defer judgement.,3,43,-1.6122223,6.295045,2
291,72,Encourage wild ideas to try and find the best solution,9,54,-1.3376069,-2.329433,2
292,73,Encourage Wild Ideas,9,20,-0.8782064,-2.7911146,2
293,74,Sketching,0,9,3.9707656,-2.5223124,2
294,75,Consider fron the side of user,4,30,-4.5338726,-5.76088,2
295,76,Defer judgment ,3,15,-2.253879,8.518875,2
296,77,Work on quantity instead of quality ,2,36,-5.8227086,2.8976753,2
297,78,It's important to engage in brainstorming,1,41,1.0586036,0.5153708,2
298,79,Conversations take place one at a time,7,38,-6.052373,-1.9555036,2
299,80,conversations take place one at a time,7,38,-6.0506077,-1.9542594,2
300,81,We must empathize with users ,0,29,-4.4237914,-4.4626627,2
301,82,Speed dating with users,0,23,-3.0501952,-7.048674,2
302,83,Listen to customers,0,19,2.0147874,3.5184846,2
303,84,Defer judgement,3,15,-2.5536783,8.109433,2
304,85,Encourage Wild Ideas,9,20,-0.5234469,-2.6343586,2
305,86,Defer judgment,3,14,-1.6180104,8.410702,2
306,87,One rule for ideation in human-centered design is to defer judgement while you are brainstorming ideas to be able to have an open mind for any ideas that may arise and to not close off any potential solutions.,1,209,0.82512015,-0.023011062,2
307,88,Be visual,5,9,4.9327493,-4.5026865,2
308,89,Generate many ideas - user goals are evaluated,1,46,-2.041978,-1.1410242,2
309,90,Speed date with users,0,21,-3.1162212,-7.053764,2
310,91,Be Visual,5,9,4.563472,-4.864264,2
311,92,Don't judge ideas to quickly ,8,29,-1.5683404,4.0804815,2
312,93,Be Visual,5,9,4.259711,-4.7795343,2
313,94,Be visual,5,9,4.199816,-4.2620025,2
314,95,We would need to include a variety of ideas,1,43,-1.685792,1.0755452,2
315,96,Building on others ideas,1,24,-0.48015139,-0.2620373,2
316,97,build on each others' ideas,1,27,-0.660353,-0.28369072,2
317,98,Create as many ideas as possible (quantity),1,43,-2.6118796,-0.29682449,2
318,99,Go for quantity,2,15,-6.081055,1.705379,2
319,100,You are not the user,4,20,-5.331887,-5.6256614,2
320,101,Be visual,5,9,4.9637046,-4.291131,2
321,102,Encourage wild ideas,9,20,-0.89545035,-2.8443437,2
322,103,Encourage wild ideas ,9,21,-0.31256783,-3.0273268,2
323,104,need to account for the basic scenarios,0,39,-3.614401,0.16569199,2
324,105,Build on other's ideas. ,1,24,-0.62611145,0.13316138,2
325,106,Coming up with lots of ideas,1,28,-2.3320668,1.0844493,2
326,107,Cluster and select,0,18,-0.2545741,-7.09581,2
327,108,conversations take place on at a time ,7,38,-6.0304823,-2.0043373,2
328,109,Be visual,5,9,4.710264,-3.9851496,2
329,110,clustering and selection process,0,32,-0.25308353,-7.09502,2
330,1,Radical ideas ,1,14,-3.0904899,-2.847365,2.5
331,2,No judgement,3,12,0.81128603,6.929429,2.5
332,3,speed dating,0,12,5.49896,-4.650443,2.5
333,4,Make multiple ideas,1,19,-2.5988467,-1.7501755,2.5
334,5,Yes and,0,7,-6.761382,-1.2278562,2.5
335,6,social interaction ,0,19,3.3126059,-2.88809,2.5
336,7,Quantity over quality ,2,22,-6.430061,1.6710584,2.5
337,8,Encourage wild ideas,4,20,-3.0557375,-4.5672245,2.5
338,9,Be visual,5,9,6.577217,-0.05780634,2.5
339,10,Encourage wild ideas,4,20,-2.4610312,-4.4060655,2.5
340,11,one conversation at a time,0,26,2.865529,-3.5568712,2.5
341,12,Be visual ,5,10,7.100542,0.58636004,2.5
342,13,Stay focused on topic,6,21,0.8040681,-5.7585926,2.5
343,14,Stay on topics,6,14,1.2699606,-5.4419165,2.5
344,15,dont judge the idea,1,19,-1.2145461,2.0969617,2.5
345,16,Defer judgement,3,15,-0.5147788,6.5864816,2.5
346,17,include all wild ideas too,4,26,-4.150167,-4.782797,2.5
347,18,Don't judge other people's ideas,1,32,-1.0986234,2.3811367,2.5
348,19,No one should be able to say that's my idea,1,43,-1.4850712,1.1098998,2.5
349,20,"Defer judgement on ideas, DONT judge them too quickly ",3,54,-1.2746474,4.089568,2.5
350,21,"Know your users, they are not u",0,31,2.83929,2.0512376,2.5
351,22,Go for quantity ,2,16,-6.789727,0.3679859,2.5
352,23,Users are not you,0,17,2.9536538,2.3307433,2.5
353,24,be visual,5,9,6.4048114,0.15300591,2.5
354,25,"Dont hate, just come up with ideas dont worry about quality of them yet",1,71,-3.2270434,1.7116679,2.5
355,26,Defer Judgement,3,15,-0.304142,6.851579,2.5
356,27,Embrace wild ideas,4,18,-3.5494902,-4.979912,2.5
357,28,Defer judgement,3,15,-1.0246404,6.5332603,2.5
358,29,Quantity over quality,2,21,-6.427802,1.6771948,2.5
359,30,Be visual,5,9,6.898648,0.74650884,2.5
360,31,Stay focused on the topic,6,25,0.77075785,-5.746534,2.5
361,32,defer judgement,3,15,-0.85016274,7.217076,2.5
362,33,Generate a lot of ideas,1,23,-2.3647583,-1.9560187,2.5
363,34,"make sure you talk to the target audience first, and see what they want",0,71,2.2986755,-1.0947468,2.5
364,35,Dont shoot down others ideas,1,28,-1.141065,-0.17613442,2.5
365,36,defer judgement ,3,16,-1.5008477,6.768552,2.5
366,37,"Know thy users, for they are not you",0,36,2.6726859,1.9445094,2.5
367,38,You should encourage wild ideas,4,31,-3.1165495,-5.262124,2.5
368,39,Go for quantity,2,15,-6.790176,0.36914954,2.5
369,40,Encourage wild ideas,4,20,-2.3997817,-4.629811,2.5
370,41,Defer judgement,3,15,-1.3965846,6.612669,2.5
371,42,Diversity of ideas,1,18,-4.3594728,-2.6069138,2.5
372,43,Come up with as many ideas as possible,1,38,-3.197555,-0.5071612,2.5
373,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",3,74,0.059393723,5.8435755,2.5
374,45,Stay focused on topic,6,21,0.8035184,-5.7585335,2.5
375,46,Defer judgment,3,14,-1.3279123,7.6352186,2.5
376,47,Encourage wild ideas,4,20,-2.6218023,-4.9086747,2.5
377,48,Stay focused on topic,6,21,0.80473226,-5.759845,2.5
378,49,Being visual helps other understand your ideas or suggestions very quickly ,5,75,5.451054,-0.20976591,2.5
379,50,Be visual,5,9,7.002725,-0.15887845,2.5
380,51,"defer judgement to others, let others participate in discussion",3,63,-0.5281866,5.490931,2.5
381,52,Defer Judgement,3,15,-0.7747047,6.506153,2.5
382,53,Staying focused and on topic when discussing an idea,6,52,0.37629116,-5.374752,2.5
383,54,Come up with as many ideas as possible,1,38,-3.1975935,-0.50658077,2.5
384,55,Building empathy with the people you're designing for ,0,54,0.53730255,-0.5664358,2.5
385,56,Defer judgement ,3,16,-0.22490183,6.984007,2.5
386,57,Not think they are me,0,21,3.5404654,2.3293796,2.5
387,58,defer judgement,3,15,-1.1119515,7.0609665,2.5
388,59,Be visual in your ideation.,5,27,5.979234,-0.80383146,2.5
389,60,Initially Include as many ideas as possible ,1,44,-2.8596032,-1.5240402,2.5
390,61,Know your target audience,0,25,2.3338194,-1.0143394,2.5
391,62,be visual; this is to say that human centered design should focus primarily on visual elements,5,94,5.2899895,0.57187414,2.5
392,63,build on others' ideas,1,22,-1.0445719,-1.2300199,2.5
393,64,Defer judgement,3,15,-0.4084144,7.4929876,2.5
394,65,Come up with a large number of ideas,1,36,-2.976802,-0.55319697,2.5
395,66,No such thing as a bad idea,1,27,-1.4163074,1.7007625,2.5
396,67,Brainstorming,1,13,-0.36807314,-2.7692857,2.5
397,68,No hate,1,7,-3.217675,2.2447422,2.5
398,69,build off of other ideas,1,24,-1.6576437,-1.2613133,2.5
399,70,Diversity and flexibility in ideas,1,34,-4.415352,-2.6113877,2.5
400,71,one rule of ideation is to defer judgement.,3,43,-1.4122382,5.4954867,2.5
401,72,Encourage wild ideas to try and find the best solution,4,54,-3.5042088,-4.0006795,2.5
402,73,Encourage Wild Ideas,4,20,-2.6218028,-4.9086742,2.5
403,74,Sketching,0,9,6.043303,-1.6677469,2.5
404,75,Consider fron the side of user,0,30,2.084466,2.3439262,2.5
405,76,Defer judgment ,3,15,-0.9782907,7.8018346,2.5
406,77,Work on quantity instead of quality ,2,36,-6.426652,1.5860146,2.5
407,78,It's important to engage in brainstorming,1,41,-0.2343459,-2.8730388,2.5
408,79,Conversations take place one at a time,0,38,2.9360576,-3.4747887,2.5
409,80,conversations take place one at a time,0,38,2.9358873,-3.4790704,2.5
